County,City,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010
Humboldt,Blue Lake,1910,1201,1235,1135,1253
Riverside,Blythe,1916,6805,8428,20463,20817
Los Angeles,Bradbury,1957,846,829,855,1048
Imperial,Brawley,1908,14946,18923,22052,24953
Orange,Brea,1917,27913,32873,35410,39282
Contra Costa,Brentwood,1948,4434,7563,23302,51481
San Mateo,Brisbane,1961,2969,2952,3597,4282
Orange,Buena Park,1953,64165,68784,78282,80530
Los Angeles,Burbank,1911,84625,93643,100316,103340
San Mateo,Burlingame,1908,26173,26801,28158,28806
Imperial,Calexico,1908,14412,18633,27109,38572
Kern,California City,1965,2743,5955,8385,14120
Imperial,Calipatria,1919,2636,2690,7289,7705
Napa,Calistoga,1886,3879,4468,5190,5155
Ventura,Camarillo,1964,37797,52303,57077,65201
Santa Clara,Campbell,1952,26910,36048,38138,39349
Santa Cruz,Capitola,1949,9095,10171,10033,9918
San Diego,Carlsbad,1952,35490,63126,78247,105328
Monterey,Carmel-By-The-Sea,1916,4707,4239,4081,3722
Santa Barbara,Carpinteria,1965,10835,13747,14194,13040
Los Angeles,Carson,1968,81221,83995,89730,91714
Riverside,Cathedral City,1981,,30085,42647,51200
Stanislaus,Ceres,1918,13281,26314,34609,45417
Los Angeles,Cerritos,1956,53020,53240,51488,49041
Butte,Chico,1872,26716,40079,60516,86187
San Bernardino,Chino,1910,40165,59682,67168,77983
Madera,Chowchilla,1923,5122,5930,14416,18720
San Diego,Chula Vista,1911,35490,63126,173556,243916
Los Angeles,Claremont,1907,31028,32503,33998,34926
Contra Costa,Clayton,1964,4325,7317,10762,10897
Sonoma,Cloverdale,1872,3989,4924,6831,8618
Fresno,Clovis,1912,33021,50323,68468,95631
Riverside,Coachella,1946,9129,16896,22724,40704
Fresno,Coalinga,1906,6593,8212,16213,13380
Placer,Colfax,1910,981,1306,1496,1963
San Mateo,Colma,1924,395,1103,1187,1792
San Bernardino,Colton,1887,21310,40213,47662,52154
Colusa,Colusa,1868,4075,4934,5402,5971
Los Angeles,Commerce,1960,10509,12135,12568,12823
Los Angeles,Compton,1888,81347,90454,93493,96455
Contra Costa,Concord,1905,103763,111348,121780,122067
Kings,Corcoran,1914,6454,13364,20835,24813
Tehama,Corning,1907,4745,5870,6741,7663
Riverside,Corona,1896,37791,76095,124966,152374
San Diego,Coronado,1890,18790,26540,24100,18912
Marin,Corte Madera,1916,8074,8272,9100,9253
Orange,Costa Mesa,1953,82562,96357,108724,109960
Sonoma,Cotati,1963,3346,5714,6471,7265
Los Angeles,Covina,1901,32746,43207,46837,47796
Del Norte,Crescent City,1854,3075,4380,7347,7643
Los Angeles,Cudahy,1960,18275,22817,24208,23805
Los Angeles,Culver City,1917,38139,38793,38816,38883
Santa Clara,Cupertino,1955,34297,40263,50546,58302
Orange,Cypress,1956,40738,42655,46229,47802
San Mateo,Daly City,1911,78427,92311,103625,101123
Orange,Dana Point,1989,,31896,35110,33351
Contra Costa,Danville,1982,26446,31306,41715,42039
Yolo,Davis,1917,36640,46209,60308,65622
San Diego,Del Mar,1959,5017,4860,4389,4161
Monterey,Del Rey Oaks,1953,1557,1661,1650,1624
Kern,Delano,1915,16491,22762,39489,53041
Riverside,Desert Hot Springs,1963,5941,11668,16582,25938
Los Angeles,Diamond Bar,1989,,53672,56287,55544
Tulare,Dinuba,1906,9907,12743,16844,21453
Solano,Dixon,1878,7541,10401,16103,18351
Siskiyou,Dorris,1908,836,892,886,939
Merced,Dos Palos,1935,3121,4196,4581,4950
Los Angeles,Downey,1956,82602,91444,107323,111772
Los Angeles,Duarte,1957,16766,20688,21486,21321
Alameda,Dublin,1982,13496,23229,29973,46036
Siskiyou,Dunsmuir,1909,2253,2129,1923,1650
San Mateo,East Palo Alto,1983,,23451,29506,28155
San Diego,El Cajon,1912,73892,88693,94869,99478
Imperial,El Centro,1908,23996,31384,37835,42598
Contra Costa,El Cerrito,1917,22731,22869,23171,23549
Los Angeles,El Monte,1912,79494,106209,115965,113475
Los Angeles,El Segundo,1917,13752,15223,16033,16654
Alameda,Emeryville,1896,3714,5740,6882,10080
San Diego,Encinitas,1986,,55386,58014,59518
San Joaquin,Escalon,1957,3127,4437,5963,7132
San Diego,Escondido,1888,64355,108635,133559,143911
Siskiyou,Etna,1878,754,835,781,737
Humboldt,Eureka,1856,24153,27025,26128,27191
Tulare,Exeter,1911,5606,7276,9168,10334
Marin,Fairfax,1931,7391,6931,7319,7441
Solano,Fairfield,1903,58099,77211,96178,105321
Tulare,Farmersville,1960,5544,6235,8737,10588
Humboldt,Ferndale,1893,1367,1331,1382,1371
Ventura,Fillmore,1914,9602,11992,13643,15002
Fresno,Firebaugh,1914,3740,4429,5743,7549
Sacramento,Folsom,1946,11003,29802,51884,72203
San Bernardino,Fontana,1952,36991,87535,128929,196069
Mendocino,Fort Bragg,1889,5019,6078,6814,7273
Siskiyou,Fort Jones,1872,544,639,660,839
Humboldt,Fortuna,1906,7591,8788,10497,11926
San Mateo,Foster City,1971,23287,28176,28803,30567
Orange,Fountain Valley,1957,55080,53691,54978,55313
Fresno,Fowler,1908,2496,3208,3979,5570
Alameda,Fremont,1956,131945,173339,203413,214089
Fresno,Fresno,1885,217129,354202,427652,494665
Orange,Fullerton,1904,102246,114144,126003,135161
Sacramento,Galt,1946,5514,8889,19472,23647
Orange,Garden Grove,1956,123307,143050,165196,170883
Los Angeles,Gardena,1930,45165,49847,57746,58829
Santa Clara,Gilroy,1870,25769,26303,41464,48821
Los Angeles,Glendale,1906,139060,180038,194973,191719
Los Angeles,Glendora,1911,38500,47828,49415,50073
Monterey,Gonzales,1947,2891,4660,7564,8187
San Bernardino,Grand Terrace,1978,8498,10946,11626,12040
Nevada,Grass Valley,1893,6697,9048,10922,12860
Monterey,Greenfield,1947,4181,7464,12648,16330
Butte,Gridley,1905,3982,4631,5382,6584
San Luis Obispo,Grover Beach,1959,8827,11656,13067,13156
Santa Barbara,Guadalupe,1946,3629,5479,5659,7080
Merced,Gustine,1915,3142,3931,4698,5520
San Mateo,Half Moon Bay,1959,7282,8886,11842,11324
Kings,Hanford,1891,20958,30897,41686,53967
Los Angeles,Hawaiian Gardens,1964,10548,13639,14779,14254
Los Angeles,Hawthorne,1922,56437,71349,84112,84293
Alameda,Hayward,1876,94342,111498,140030,144186
Sonoma,Healdsburg,1867,7217,9469,10722,11254
Riverside,Hemet,1910,22454,36094,58812,78657
Contra Costa,Hercules,1900,5963,16829,19488,24060
Los Angeles,Hermosa Beach,1907,18070,18219,18566,19506
San Bernardino,Hesperia,1988,,50418,62582,90173
Los Angeles,Hidden Hills,1961,1760,1729,1875,1856
San Bernardino,Highland,1987,,34439,44605,53104
San Mateo,Hillsborough,1910,10372,10667,10825,10825
San Benito,Hollister,1872,11488,19212,34413,34928
Imperial,Holtville,1908,4399,4820,5612,5939
Stanislaus,Hughson,1972,2943,3259,3980,6640
Orange,Huntington Beach,1909,170505,181519,189594,189992
Los Angeles,Huntington Park,1906,45932,56065,61348,58114
Fresno,Huron,1951,2768,4766,6306,6754
Imperial,Imperial,1904,3451,4113,7560,14758
San Diego,Imperial Beach,1956,22689,26512,26992,26324
Riverside,Indian Wells,1967,1394,2647,3816,4958
Riverside,Indio,1930,21611,36793,49116,76036
Los Angeles,Industry,1957,412,631,777,219
Los Angeles,Inglewood,1908,94162,109602,112580,109673
Amador,Ione,1953,2207,6516,7129,7918
Orange,Irvine,1971,62134,110330,143072,212375
Los Angeles,Irwindale,1957,1030,1050,1446,1422
Sacramento,Isleton,1923,914,833,828,804
Amador,Jackson,1905,2331,3545,3989,4651
Fresno,Kerman,1946,4002,5448,8551,13544
Monterey,King City,1911,5495,7634,11204,12874
Fresno,Kingsburg,1908,5115,7205,9199,11382
Los Angeles,La Cañada Flintridge,1976,20153,19378,20318,20246
Orange,La Habra,1925,45232,51266,58974,60239
Los Angeles,La Habra Heights,1978,4786,6226,5712,5325
San Diego,La Mesa,1912,50308,52931,54749,57065
Los Angeles,La Mirada,1960,40986,40452,46783,48527
Orange,La Palma,1955,15399,15392,15408,15568
Los Angeles,La Puente,1956,30882,36955,41063,39816
Riverside,La Quinta,1982,,11215,23694,37467
Los Angeles,La Verne,1906,23508,30897,31638,31063
Contra Costa,Lafayette,1968,20837,23501,23908,23893
Orange,Laguna Beach,1927,17858,23170,23727,22723
Orange,Laguna Niguel,1989,,44400,61891,62979
Riverside,Lake Elsinore,1888,5982,18285,28928,51821
Lake,Lakeport,1888,3675,4390,4820,4753
Los Angeles,Lakewood,1954,74654,73557,79345,80048
Los Angeles,Lancaster,1977,48027,97291,118718,156633
Marin,Larkspur,1908,11064,11070,12014,11926
San Joaquin,Lathrop,1989,,6841,10445,18023
Los Angeles,Lawndale,1959,23460,27331,31711,32769
San Diego,Lemon Grove,1977,20780,23984,24918,25320
Kings,Lemoore,1900,8832,13622,19712,24531
Placer,Lincoln,1890,4132,7248,11205,42819
Tulare,Lindsay,1910,6936,8338,10297,11768
Sutter,Live Oak,1947,3103,4320,6229,8392
Alameda,Livermore,1876,48349,56741,73345,80968
Merced,Livingston,1922,5326,7317,10473,13058
San Joaquin,Lodi,1906,35221,51874,56999,62134
San Bernardino,Loma Linda,1970,10694,17400,18681,23261
Los Angeles,Lomita,1964,18807,19382,20046,20256
Santa Barbara,Lompoc,1888,26267,37649,41103,42434
Los Angeles,Long Beach,"i. 1888/ d.1896/ 
ri. 1897",361355,429433,461522,462257
Placer,Loomis,1984,,5705,6260,6430
Orange,Los Alamitos,1960,11529,11676,11536,11449
Santa Clara,Los Altos,1952,25769,26303,27693,28976
Santa Clara,Los Altos Hills,1956,7421,7514,7902,7922
Los Angeles,Los Angeles,1850,2968579,3485398,3694742,3792621
Merced,Los Banos,1907,10341,14519,25869,35972
Santa Clara,Los Gatos,1887,26906,27357,28592,29413
Sierra,Loyalton,1901,1030,931,862,769
Los Angeles,Lynwood,1921,48409,61945,69845,69772
Madera,Madera,1907,21732,29281,43207,61416
Mono,Mammoth Lakes,1984,3929,4785,7093,8234
Los Angeles,Manhattan Beach,1912,31542,32063,33852,35135
San Joaquin,Manteca,1918,24925,40773,49258,67096
Kern,Maricopa,1911,946,1193,1111,1154
Monterey,Marina,1975,20647,26436,18925,19718
Contra Costa,Martinez,1876,22582,31808,35866,35824
Yuba,Marysville,1851,9898,12324,12268,12072
Los Angeles,Maywood,1924,21810,27850,28083,27395
Kern,McFarland,1957,5151,7005,9837,12707
Fresno,Mendota,1942,5038,6821,7890,11014
San Mateo,Menlo Park,1927,26438,28040,30785,32026
Merced,Merced,1889,36499,56216,63893,78958
Marin,Mill Valley,1900,12967,13038,13600,13903
San Mateo,Millbrae,1948,20058,20412,20718,21532
Santa Clara,Milpitas,1954,37820,50686,62698,66790
Orange,Mission Viejo,1988,,72820,93102,93305
Stanislaus,Modesto,1884,106963,164730,188856,201165
Los Angeles,Monrovia,1887,30531,35761,36929,36590
Siskiyou,Montague,1909,1285,1415,1456,1443
San Bernardino,Montclair,1956,22628,28434,33049,36664
Santa Clara,Monte Sereno,1957,3434,3287,3483,3341
Los Angeles,Montebello,1920,52929,59564,62150,62500
Monterey,Monterey,1890,27558,31954,29696,27810
Los Angeles,Monterey Park,1916,54338,60738,60051,60269
Ventura,Moorpark,1983,,25494,31415,34421
Contra Costa,Moraga,1974,15014,15852,16290,16016
Riverside,Moreno Valley,1984,,118779,142381,193365
Santa Clara,Morgan Hill,1906,17060,23928,33556,37882
San Luis Obispo,Morro Bay,1964,9064,9664,10350,10234
Siskiyou,Mount Shasta,1905,2837,3460,3621,3394
Santa Clara,Mountain View,1902,58655,67460,70708,74066
Napa,Napa,1872,50879,61842,72585,76915
San Diego,National City,1887,48772,54249,54260,58582
San Bernardino,Needles,1913,4120,5191,4830,4844
Nevada,Nevada City,1856,2431,2855,3001,3068
Alameda,Newark,1955,32126,37861,42471,42573
Stanislaus,Newman,1908,2785,4151,7093,10224
Orange,Newport Beach,1906,62556,66643,70032,85186
Riverside,Norco,1964,19732,23302,24157,27063
Los Angeles,Norwalk,1957,84901,94279,104323,105549
Marin,Novato,1960,43916,47585,47630,51904
Stanislaus,Oakdale,1906,8474,11961,15503,20675
Alameda,Oakland,1852,339337,372242,399484,390724
San Diego,Oceanside,1888,76698,128398,161029,167086
Ventura,Ojai,1921,6816,7613,7862,7461
San Bernardino,Ontario,1891,88820,133179,158007,163924
Orange,Orange,1888,91450,110658,128868,136416
Fresno,Orange Cove,1948,4026,5604,7722,9078
Contra Costa,Orinda,1985,,16642,17599,17643
Glenn,Orland,1909,4031,5052,6281,7291
Butte,Oroville,1906,8693,11960,13004,15546
Ventura,Oxnard,1903,108195,142216,170358,197899
Monterey,Pacific Grove,1889,15755,16117,15522,15041
San Mateo,Pacifica,1957,36866,37670,38390,37234
Riverside,Palm Desert,1973,11801,23252,41155,48445
Riverside,Palm Springs,1938,32359,40181,42807,44552
Los Angeles,Palmdale,1962,12277,68842,116670,152750
Santa Clara,Palo Alto,1894,55225,55900,58598,64403
Los Angeles,Palos Verdes Estates,1939,14376,13512,13340,13438
Butte,Paradise,1979,22571,25408,26408,26218
Los Angeles,Paramount,1957,36407,47669,55266,54098
Fresno,Parlier,1921,2902,7938,11145,14494
Los Angeles,Pasadena,1886,118072,131591,133936,137122
San Luis Obispo,Paso Robles,1889,9163,18583,24297,29793
Stanislaus,Patterson,1919,3908,8626,11606,20413
Riverside,Perris,1911,6827,21460,36189,68386
Sonoma,Petaluma,1858,33834,43184,54548,57941
Los Angeles,Pico Rivera,1958,53387,59177,63428,62942
Alameda,Piedmont,1907,10498,10602,10952,10667
Contra Costa,Pinole,1903,14253,17460,19039,18390
San Luis Obispo,Pismo Beach,1939,5364,7669,8551,7655
Contra Costa,Pittsburg,1903,33465,47564,56769,63264
Orange,Placentia,1926,35041,41259,46488,50533
El Dorado,Placerville,1854,6739,8355,9610,10389
Contra Costa,Pleasant Hill,1961,25547,31585,32837,33152
Alameda,Pleasanton,1894,35160,50553,63654,70285
Amador,Plymouth,1917,699,811,980,1005
Mendocino,Point Arena,1908,425,407,474,449
Los Angeles,Pomona,1888,92742,131723,149473,149058
Ventura,Port Hueneme,1948,17803,20319,21845,21723
Tulare,Porterville,1902,19707,29563,39615,54165
Plumas,Portola,1946,1885,2193,2227,2104
San Mateo,Portola Valley,1964,3939,4194,4462,4353
San Diego,Poway,1980,,43516,48044,47811
San Bernardino,Rancho Cucamonga,1977,55250,101409,127743,165269
Riverside,Rancho Mirage,1973,6281,9778,13249,17218
Los Angeles,Rancho Palos Verdes,1973,36577,41659,41145,41643
Tehama,Red Bluff,1876,9490,12363,13147,14076
Shasta,Redding,1887,41995,66462,80865,89861
San Bernardino,Redlands,1888,43619,60394,63591,68747
Los Angeles,Redondo Beach,1892,57102,60167,63261,66748
San Mateo,Redwood City,1867,54951,66072,75402,76815
Fresno,Reedley,1913,11071,15791,20756,24194
San Bernardino,Rialto,1911,37862,72388,91873,99171
Contra Costa,Richmond,1905,74676,87425,99216,103701
Kern,Ridgecrest,1963,15929,27725,24927,27616
Humboldt,Rio Dell,1965,2687,3012,3174,3368
Solano,Rio Vista,1894,3142,3316,4571,7360
San Joaquin,Ripon,1945,3509,7455,10146,14297
Stanislaus,Riverbank,1922,5695,8547,15826,22678
Riverside,Riverside,1883,170591,226505,255166,303871
Placer,Rocklin,1893,7344,19033,36330,56974
Sonoma,Rohnert Park,1962,22965,36326,42236,40971
Los Angeles,Rolling Hills,1957,2049,1871,1871,1860
Los Angeles,Rolling Hills Estates,1957,7701,7789,7676,8067
Los Angeles,Rosemead,1959,42604,51638,53505,53764
Placer,Roseville,1909,24347,44685,79921,118788
Marin,Ross,1908,2801,2123,2329,2415
Sacramento,Sacramento,1850,275741,369365,407018,466488
Monterey,Salinas,1874,80479,108777,142685,150441
Marin,San Anselmo,1907,12067,11743,12378,12336
San Bernardino,San Bernardino,1869,118794,164164,185401,209924
San Mateo,San Bruno,1914,35417,38961,40165,41114
San Mateo,San Carlos,1925,24710,26167,27718,28406
Orange,San Clemente,1928,27325,41100,49936,63522
San Diego,San Diego,1850,875538,1110549,1223400,1307402
Los Angeles,San Dimas,1960,24014,32397,34980,33371
Los Angeles,San Fernando,1911,17731,22580,23564,23645
San Francisco,San Francisco,1850,678974,723959,776733,805235
Los Angeles,San Gabriel,1913,30072,37120,39804,39718
Riverside,San Jacinto,1888,7098,16210,23779,44199
Fresno,San Joaquin,1920,1930,2311,3270,4001
Santa Clara,San Jose,1850,629531,782248,894943,945942
San Benito,San Juan Bautista,1869,1276,1570,1549,1862
Orange,San Juan Capistrano,1961,18959,26183,33826,34593
Alameda,San Leandro,1872,63952,68223,79452,84950
San Luis Obispo,San Luis Obispo,1856,34252,41958,44174,45119
San Diego,San Marcos,1963,17479,38974,54977,83781
Los Angeles,San Marino,1913,13307,12959,12945,13147
San Mateo,San Mateo,1894,77640,85486,92482,97207
Contra Costa,San Pablo,1948,19750,25158,30215,29139
Marin,San Rafael,1874,44700,48404,56063,57713
Contra Costa,San Ramon,1983,,35303,44722,72148
Monterey,Sand City,1960,182,192,261,334
Fresno,Sanger,1911,12542,16839,18931,24270
Orange,Santa Ana,1886,204023,293742,337977,324528
Santa Barbara,Santa Barbara,1850,74414,85571,89600,88410
Santa Clara,Santa Clara,1852,87700,93613,102361,116468
Los Angeles,Santa Clarita,1987,,110642,151088,176320
Santa Cruz,Santa Cruz,1866,41483,49040,54593,59946
Los Angeles,Santa Fe Springs,1957,14520,15520,16413,16223
Santa Barbara,Santa Maria,1905,39685,61284,77423,99553
Los Angeles,Santa Monica,1886,88314,86905,84084,89736
Ventura,Santa Paula,1902,20658,25062,28598,29321
Sonoma,Santa Rosa,1868,82658,113313,147595,167815
San Diego,Santee,1980,,52902,52975,53413
Santa Clara,Saratoga,1956,29261,28061,29843,29926
Marin,Sausalito,1893,7338,7152,7330,7061
Santa Cruz,Scotts Valley,1966,6891,8615,11385,11580
Orange,Seal Beach,1915,25975,25098,24157,24168
Monterey,Seaside,1954,36567,38901,33097,33025
Sonoma,Sebastopol,1902,5595,7004,7774,7379
Fresno,Selma,1893,10942,14757,19444,23219
Kern,Shafter,1938,7010,8409,12736,16988
Los Angeles,Sierra Madre,1907,10837,10762,10578,10917
Los Angeles,Signal Hill,1924,5734,8371,9333,11016
Ventura,Simi Valley,1969,77500,100217,111351,124237
San Diego,Solana Beach,1986,,12962,12979,12867
Monterey,Soledad,1921,3091,7146,23015,25738
Santa Barbara,Solvang,1985,,4741,5332,5245
Sonoma,Sonoma,1883,6054,8121,9128,10648
Tuolumne,Sonora,1851,3247,4153,4423,4903
Los Angeles,South El Monte,1958,16623,20850,21144,20116
Los Angeles,South Gate,1923,66784,86284,96375,94396
El Dorado,South Lake Tahoe,1965,20681,21586,23609,21403
Los Angeles,South Pasadena,1888,22681,23936,24292,25619
San Mateo,South San Francisco,1908,49393,54312,60552,63632
Napa,St. Helena,1876,4898,4990,5950,5814
Orange,Stanton,1911,23723,30491,37403,38186
San Joaquin,Stockton,1850,148283,210943,243771,291707
Solano,Suisun City,1868,11087,22686,26118,28111
Santa Clara,Sunnyvale,1912,106618,117229,131760,140081
Lassen,Susanville,1900,6520,7279,17428,17947
Amador,Sutter Creek,1913,1705,1835,2303,2501
Kern,Taft,1910,5316,5902,8811,9327
Kern,Tehachapi,1909,4126,5791,11125,14414
Tehama,Tehama,1906,365,401,432,418
Riverside,Temecula,1989,,27099,57716,100097
Los Angeles,Temple City,1960,28972,31100,33377,35558
Ventura,Thousand Oaks,1964,77072,104352,117005,126683
Marin,Tiburon,1964,6685,7532,8666,8962
Los Angeles,Torrance,1921,129881,133107,137946,145438
San Joaquin,Tracy,1910,18428,33558,56929,82922
Humboldt,Trinidad,1870,379,362,311,367
Tulare,Tulare,1888,22530,33249,43994,59278
Siskiyou,Tulelake,1937,783,1010,1020,1010
Stanislaus,Turlock,1908,26287,42198,55810,68549
Orange,Tustin,1927,32256,50689,67504,75540
San Bernardino,Twentynine Palms,1987,,11821,14764,25048
Mendocino,Ukiah,1876,12035,14599,15497,16075
Alameda,Union City,1959,39406,53762,66869,69516
San Bernardino,Upland,1906,47647,63374,68393,73732
Solano,Vacaville,1892,43367,71479,88625,92428
Solano,Vallejo,1868,80303,109199,116760,115942
Ventura,Ventura,1866,73774,92575,100916,106433
Los Angeles,Vernon,1905,90,152,91,112
San Bernardino,Victorville,1962,14220,40674,64029,115903
Orange,Villa Park,1962,7137,6299,5952,5812
Tulare,Visalia,1874,49729,75636,91877,124442
San Diego,Vista,1963,35834,71872,89857,93834
Los Angeles,Walnut,1959,12478,29105,30004,29172
Contra Costa,Walnut Creek,1914,53490,60569,64296,64173
Kern,Wasco,1945,9613,12412,21263,25545
Stanislaus,Waterford,1969,2683,4771,6924,8456
Santa Cruz,Watsonville,1868,23662,31099,44265,51199
Siskiyou,Weed,1961,2879,3062,2978,2967
Los Angeles,West Covina,1923,81292,96086,105080,106098
Los Angeles,West Hollywood,1984,,36118,35794,34399
Yolo,West Sacramento,1987,,28898,31615,48744
Los Angeles,Westlake Village,1981,,7455,8368,8270
Orange,Westminster,1957,71133,78118,88207,89701
Imperial,Westmorland,1934,1590,1380,2131,2225
Yuba,Wheatland,1874,1474,1631,2275,3456
Los Angeles,Whittier,1898,68558,77671,83680,85331
Colusa,Williams,1920,1658,2297,3670,5123
Mendocino,Willits,1888,4008,5027,5073,4888
Glenn,Willows,1886,4777,5988,6220,6166
Yolo,Winters,1898,2652,4639,6125,6624
Tulare,Woodlake,1941,4343,5678,6651,7279
Yolo,Woodland,1871,30235,39802,49151,55468
San Mateo,Woodside,1956,5291,5035,5352,5287
Orange,Yorba Linda,1967,28254,52422,58918,64234
Napa,Yountville,1965,2893,3259,3297,2933
Siskiyou,Yreka,1857,5916,6948,7290,7765
Sutter,Yuba City,1908,18736,27437,36758,64925
San Bernardino,Yucaipa,1989,,32824,41207,51367
